,feature,RI_lower_limit,RI_upper_limit,CI_for_lower_limit,CI_for_upper_limit,ci_lower_width/ri_width,ci_upper_width/ri_width,valid_CI_lower_limit,valid_CI_upper_limit,median,q1,q3
10,Spectral_Slope,-1.8758829992347021,2.0679393438815343,"(-1.9359883281830446, -1.8033525102846502)","(1.943666211589526, 2.1652155669315927)",0.03363128618861451,0.05617630209149026,True,True,-0.02934297792161864,-0.6807261501739206,0.6531476798789615
11,Spectral_Tilt,-1.8238745396172147,2.015845013769745,"(-1.8941065043567424, -1.7632663914128996)","(1.9283248360061984, 2.0843532965239926)",0.034075434709399714,0.04063537931570127,True,True,-0.030247665199559532,-0.7020752353420815,0.6463909426349561
12,Cepstral_Peak_Prominence,-1.7038707719237232,2.1212002421622183,"(-1.757840513597904, -1.6449418819568913)","(2.056659879590257, 2.233195788406299)",0.029515434151486362,0.0461523219218528,True,True,-0.06455523246558974,-0.7227893876451651,0.6468681914442678
13,mean_F1_Loc,-1.4987610078774398,2.2786238012108555,"(-1.5272401849378594, -1.4573254768662909)","(2.1704333975591203, 2.5734931757989754)",0.0185087597915244,0.10670339364686994,True,True,-0.14179991443641574,-0.6281741528492868,0.4583341461490083
14,std_F1_Loc,-1.3547676306085985,2.4273263301241297,"(-1.3810014924950647, -1.326950543922371)","(2.2726591038707236, 2.5643109919401152)",0.014291275979357752,0.07711386631253556,True,True,-0.22427090526534044,-0.7390207858426511,0.521040987543088
15,mean_B1_Loc,-1.3714157397073503,2.492075374528974,"(-1.4041598080658835, -1.342577752270394)","(2.330154451251152, 2.5965514426662173)",0.015939484257792052,0.06895240173671856,True,True,-0.18555904896960573,-0.7025164350393746,0.48148173756566925
16,std_B1_Loc,-1.5287961575097921,2.229334672557091,"(-1.5683712750192926, -1.4998384811966075)","(2.136430230657078, 2.310410099596725)",0.018235872278418126,0.046294255523975654,True,True,-0.13257212779019625,-0.735026543355877,0.5988191819238247
17,mean_F2_Loc,-1.9192118386166224,2.0401597481121745,"(-2.00833524520565, -1.8623017632228716)","(1.9410835318843587, 2.1425598376935815)",0.03688299488541575,0.05088593010177179,True,True,-0.011913769494684468,-0.6578800924337849,0.6460297894024554
18,std_F2_Loc,-1.8554041857997883,2.0807573635976575,"(-1.9127921623570892, -1.7862657576066305)","(1.9898209814406067, 2.169733101102911)",0.03214461682087908,0.0457075039742323,True,True,-0.04952429433741461,-0.6831912124918997,0.6456995854254215
19,mean_B2_Loc,-1.5707402792615066,2.2458309957718505,"(-1.615501374810902, -1.5298720493845177)","(2.1569899488473436, 2.344497914773696)",0.022436191873722006,0.049129952623435155,True,True,-0.12795291845593804,-0.7282207762700377,0.5821922577710212
20,std_B2_Loc,-1.7148961952563986,2.142451355875262,"(-1.7408692319300558, -1.6694634081702595)","(2.029274087733732, 2.3135120105692684)",0.018511638584095807,0.07368740282481089,True,True,-0.061513506120128625,-0.7131099092697248,0.6255383771774577
21,Spectral_Gravity,-1.2782901146837087,2.5058590386047435,"(-1.3151847302138289, -1.2596731518146875)","(2.359824108201625, 2.688974655297867)",0.014669500632896931,0.08698138835521527,True,True,-0.20525242085241074,-0.6187370283546991,0.3797117683716642
22,Spectral_Std_Dev,-1.3668595032503033,2.4850966157373224,"(-1.3983421034948984, -1.3339208984897142)","(2.390527760994632, 2.631861020082084)",0.016724283199289265,0.06265213092585264,True,True,-0.21159303620729963,-0.7085332790705537,0.49714409437149054
23,Spectral_Skewness,-1.6928768142558186,2.3686002069587464,"(-1.7344131752823733, -1.6368068107778033)","(2.1754403849516386, 2.5063197128878243)",0.024032233592541963,0.08146773358753064,True,True,-0.11620291261997533,-0.6478930112872054,0.5265067680192862
24,Spectral_Kurtosis,-1.0350372264946373,2.6150506073575372,"(-1.0452410144224495, -1.0154168400353663)","(2.403413482509539, 2.867997168257259)",0.008170810058454924,0.1272801386966666,True,True,-0.2474706065824005,-0.5934441971419712,0.2906368120046245
